arquivo_1,arquivo_2,distancia
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000002.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000086.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000003.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000087.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000003.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000147.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000004.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000088.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000005.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000089.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000005.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000143.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000006.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000090.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000007.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000093.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000008.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000092.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000010.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000096.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000012.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000100.jpg,0
/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000020.jpg,/Users/gilcesarf/git/repositories/imd/imd1114-202601/deep-learning/data/insetos/abelha/000094.jpg,0
