experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
full_grid,config_119,29,0.9495166513566557,0.9418367346938775,0.1687508065013155,39,37.95746088027954,0.9732682276994754,"[64, 32]",relu,0.2,False,rmsprop,0.0005,100,32
full_grid,config_163,25,0.9494467071123216,0.9408163265306122,0.1657564197216303,35,35.7231662273407,1.0206618922097341,"[128, 64]",relu,0.2,False,adamw,0.0005,100,32
full_grid,config_25,78,0.9494024234296413,0.9408163265306122,0.16546615994265002,88,69.96323704719543,0.7950367846272208,[32],tanh,0.0,False,adam,0.001,100,32
full_grid,config_73,51,0.94880137221233,0.9408163265306122,0.16780148049996746,61,50.25880312919617,0.8239148053966585,[64],tanh,0.0,False,adam,0.001,100,32
full_grid,config_159,16,0.9485409777040354,0.9408163265306122,0.16943782087295287,26,26.789719104766846,1.0303738117218018,"[128, 64]",relu,0.2,False,adam,0.0005,100,32
full_grid,config_77,39,0.9481860269343666,0.939795918367347,0.16686162034109717,49,40.06527900695801,0.817658755244041,[64],tanh,0.0,False,adamw,0.001,100,32
full_grid,config_178,23,0.9468832349819903,0.939795918367347,0.17238129302859306,33,9.613928079605103,0.29133115392742737,"[128, 64]",tanh,0.0,False,rmsprop,0.001,100,128
full_grid,config_162,16,0.9482485434423155,0.939795918367347,0.17161376774311066,26,8.301316738128662,0.31928141300494856,"[128, 64]",relu,0.2,False,adamw,0.001,100,128
full_grid,config_169,33,0.9464507835168311,0.939795918367347,0.17129154869865987,43,40.48979306221008,0.9416230944700019,"[128, 64]",tanh,0.0,False,adam,0.001,100,32
full_grid,config_116,54,0.9447576531621117,0.9387755102040817,0.17486940883100033,64,18.458472967147827,0.2884136401116848,"[64, 32]",relu,0.2,False,adamw,0.0005,100,128
full_grid,config_29,66,0.946855937179915,0.9387755102040817,0.17032584800354897,76,61.21883702278137,0.8055110134576496,[32],tanh,0.0,False,adamw,0.001,100,32
full_grid,config_140,79,0.9445777385642918,0.9387755102040817,0.17521258164197206,89,24.737412929534912,0.27794845988241473,"[64, 32]",tanh,0.2,False,adamw,0.0005,100,128
full_grid,config_32,97,0.9449406908667921,0.9387755102040817,0.17724452167749405,100,23.4900541305542,0.234900541305542,[32],tanh,0.0,False,adamw,0.0005,100,128
full_grid,config_174,32,0.945597190205415,0.9387755102040817,0.1703966222703457,42,12.398124933242798,0.29519345079149517,"[128, 64]",tanh,0.0,False,adamw,0.001,100,128
full_grid,config_150,27,0.9479594048298258,0.9387755102040817,0.16815546341240406,37,10.905149936676025,0.29473378207232503,"[128, 64]",relu,0.0,False,adamw,0.001,100,128
full_grid,config_166,25,0.9444531289749151,0.9387755102040817,0.1669287597760558,35,10.593549728393555,0.30267284938267297,"[128, 64]",relu,0.2,False,rmsprop,0.001,100,128
full_grid,config_80,94,0.9464709747787444,0.9387755102040817,0.17566640116274357,100,22.963433980941772,0.22963433980941772,[64],tanh,0.0,False,adamw,0.0005,100,128
full_grid,config_146,20,0.9463277672278448,0.9387755102040817,0.166908317245543,30,9.137645959854126,0.3045881986618042,"[128, 64]",relu,0.0,False,adam,0.001,100,128
full_grid,config_173,35,0.9462342744400275,0.9387755102040817,0.16529487259685993,45,43.22368383407593,0.9605263074239095,"[128, 64]",tanh,0.0,False,adamw,0.001,100,32
full_grid,config_50,74,0.9476473757670124,0.9387755102040817,0.1692454107105732,84,19.910558223724365,0.23703045504433767,[64],relu,0.0,False,adam,0.001,100,128
full_grid,config_105,29,0.947345890318953,0.9387755102040817,0.16768036049700552,39,37.15244197845459,0.9526267173962716,"[64, 32]",relu,0.0,False,rmsprop,0.001,100,32
full_grid,config_148,49,0.9453425200956496,0.9387755102040817,0.16924741491675377,59,16.34878897666931,0.2770981182486324,"[128, 64]",relu,0.0,False,adam,0.0005,100,128
full_grid,config_143,37,0.9446223785372074,0.9387755102040817,0.17268939790946822,47,45.77535891532898,0.9739438067091272,"[64, 32]",tanh,0.2,False,rmsprop,0.0005,100,32
full_grid,config_24,81,0.9438081975664897,0.9387755102040817,0.17530443705618382,91,21.572113275527954,0.23705618984096652,[32],relu,0.2,False,rmsprop,0.0005,100,128
full_grid,config_171,16,0.9455709866917562,0.9387755102040817,0.17434479368309821,26,25.968170166015625,0.9987757756159856,"[128, 64]",tanh,0.0,False,adam,0.0005,100,32
full_grid,config_157,8,0.9469499900548918,0.9387755102040817,0.17053764217322873,18,19.386371850967407,1.0770206583870783,"[128, 64]",relu,0.2,False,adam,0.001,100,32
full_grid,config_20,100,0.9446954887923479,0.9387755102040817,0.17975087836384773,100,23.941163778305054,0.23941163778305052,[32],relu,0.2,False,adamw,0.0005,100,128
full_grid,config_151,35,0.9477815204936804,0.9387755102040817,0.16590707731102744,45,43.614875078201294,0.969219446182251,"[128, 64]",relu,0.0,False,adamw,0.0005,100,32
full_grid,config_95,97,0.9466381534053829,0.9387755102040817,0.17302764104979654,100,83.86686992645264,0.8386686992645264,[64],tanh,0.2,False,rmsprop,0.0005,100,32
full_grid,config_186,36,0.9444613909967398,0.9387755102040817,0.1704144598916173,46,14.223122835159302,0.3091983225034631,"[128, 64]",tanh,0.2,False,adamw,0.001,100,128
