experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size,weight_decay
gelu_grid,config_40,10,0.9503902301156979,0.9418367346938775,0.16573730669915676,20,11.379819869995117,0.5689909934997559,"[128, 64]",gelu,0.1,False,adamw,0.001,100,64,0.0005
gelu_grid,config_39,18,0.949260096174586,0.9418367346938775,0.1637771767564118,28,14.643921136856079,0.5229971834591457,"[128, 64]",gelu,0.1,False,adamw,0.001,100,64,0.0001
gelu_grid,config_30,29,0.9504456847040826,0.9418367346938775,0.160899022128433,39,19.81813883781433,0.5081574060978034,"[128, 64]",gelu,0.0,False,adamw,0.001,100,64,1e-05
gelu_grid,config_18,34,0.9491536765689267,0.9408163265306122,0.1652990230359137,44,23.47159695625305,0.5334453853693876,"[64, 32]",gelu,0.2,False,adamw,0.0005,100,64,1e-05
gelu_grid,config_22,36,0.9498457088324894,0.9408163265306122,0.1643109698779881,46,24.99293327331543,0.5433246363764224,"[64, 32]",gelu,0.2,False,adamw,0.001,100,64,1e-05
gelu_grid,config_36,43,0.9490755875960433,0.9408163265306122,0.1624976866878569,53,27.56769299507141,0.520145150850404,"[128, 64]",gelu,0.1,False,adamw,0.0005,100,64,0.0005
gelu_grid,config_35,31,0.9487189969295304,0.9408163265306122,0.16338492278009653,41,21.433887004852295,0.5227777318256658,"[128, 64]",gelu,0.1,False,adamw,0.0005,100,64,0.0001
gelu_grid,config_13,32,0.9489920629578192,0.9408163265306122,0.16467502061277628,42,22.386417150497437,0.5330099321547008,"[64, 32]",gelu,0.1,False,adamw,0.001,100,64,0.0
gelu_grid,config_16,42,0.9486615961214409,0.9408163265306122,0.15993399173021317,52,25.80332112312317,0.4962177139062148,"[64, 32]",gelu,0.1,False,adamw,0.001,100,64,0.0005
gelu_grid,config_37,12,0.9485999760831445,0.939795918367347,0.1663176459260285,22,12.362126111984253,0.5619148232720115,"[128, 64]",gelu,0.1,False,adamw,0.001,100,64,0.0
gelu_grid,config_15,38,0.9476829590366525,0.939795918367347,0.16712036216631532,48,24.37684392929077,0.5078509151935577,"[64, 32]",gelu,0.1,False,adamw,0.001,100,64,0.0001
gelu_grid,config_48,25,0.9464395404533688,0.9387755102040817,0.162945706397295,35,19.01979088783264,0.5434225967952183,"[128, 64]",gelu,0.2,False,adamw,0.001,100,64,0.0005
gelu_grid,config_44,23,0.9473036539063145,0.9387755102040817,0.16505157528445125,33,17.669578075408936,0.5354417598608768,"[128, 64]",gelu,0.2,False,adamw,0.0005,100,64,0.0005
gelu_grid,config_28,21,0.9464081895008437,0.9387755102040817,0.16483458410948515,31,16.426353216171265,0.5298823618119762,"[128, 64]",gelu,0.0,False,adamw,0.0005,100,64,0.0005
gelu_grid,config_9,37,0.9467999436876392,0.9387755102040817,0.16534082544967532,47,26.419103860855103,0.5621085927841512,"[64, 32]",gelu,0.1,False,adamw,0.0005,100,64,0.0
