model_name,scenario_name,epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,learning_rate,epoch_time_seconds,improved_selection_metric,selection_metric,selection_mode
transformer,lr_1e4_no_weight_decay,1,0.5787082480865976,0.667695652173913,0.6686783871249891,0.6647826086956522,0.6667248070466141,0.319515248298645,0.867,0.8342440801457195,0.916,0.8732125834127741,0.0001,31.8798990000505,True,val_f1,max
transformer,lr_1e4_no_weight_decay,2,0.274181142050287,0.8872608695652174,0.884818111120712,0.8904347826086957,0.8876175616521476,0.2820841159820557,0.8895,0.9229098805646037,0.85,0.8849557522123894,0.0001,31.607138207997195,True,val_f1,max
transformer,lr_1e4_no_weight_decay,3,0.1911703350647636,0.9264347826086956,0.9282969432314411,0.9242608695652174,0.9262745098039216,0.2860817928314209,0.9005,0.8825214899713467,0.924,0.9027845627747924,0.0001,31.57611262507271,True,val_f1,max
transformer,lr_1e4_no_weight_decay,4,0.1331702787966832,0.953,0.9546208220612619,0.9512173913043478,0.9529160677729867,0.34159952878952027,0.8925,0.901740020470829,0.881,0.8912493677288822,0.0001,31.659986875019968,False,val_f1,max
transformer,lr_1e4_no_weight_decay,5,0.09362752616405487,0.9685217391304348,0.9693379790940767,0.9676521739130435,0.9684943429068755,0.4233126773834229,0.889,0.8843873517786561,0.895,0.889662027833002,0.0001,31.627805165946484,False,val_f1,max
transformer,lr_1e4_no_weight_decay,6,0.055709074047596556,0.9832173913043478,0.9849040139616055,0.9814782608695652,0.9831881533101046,0.537272668838501,0.8785,0.898840885142255,0.853,0.8753206772703951,0.0001,31.647178290993907,False,val_f1,max
transformer,lr_1e4_no_weight_decay,7,0.028094636646058897,0.9932173913043478,0.9939905939731754,0.9924347826086957,0.9932120790183622,0.680652195930481,0.879,0.8828282828282829,0.874,0.878391959798995,0.0001,32.16354700003285,False,val_f1,max
