model_name,scenario_name,epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,learning_rate,epoch_time_seconds,improved_selection_metric,selection_metric,selection_mode
transformer,lr_1e4_weight_decay,1,0.5787119867283365,0.6677391304347826,0.6687368789363191,0.6647826086956522,0.6667538810395953,0.3195098247528076,0.867,0.8342440801457195,0.916,0.8732125834127741,0.0001,31.95703220902942,True,val_f1,max
transformer,lr_1e4_weight_decay,2,0.27418269177105115,0.8872608695652174,0.884818111120712,0.8904347826086957,0.8876175616521476,0.28207522892951964,0.8895,0.9229098805646037,0.85,0.8849557522123894,0.0001,31.490862249978818,True,val_f1,max
transformer,lr_1e4_weight_decay,3,0.19117321574169657,0.9264347826086956,0.9282969432314411,0.9242608695652174,0.9262745098039216,0.2860648778676987,0.9005,0.8825214899713467,0.924,0.9027845627747924,0.0001,31.426627499982715,True,val_f1,max
transformer,lr_1e4_weight_decay,4,0.13317325456246085,0.953,0.9546208220612619,0.9512173913043478,0.9529160677729867,0.341571896314621,0.8925,0.901740020470829,0.881,0.8912493677288822,0.0001,31.507487208931707,False,val_f1,max
transformer,lr_1e4_weight_decay,5,0.09363212672005529,0.9685217391304348,0.9693379790940767,0.9676521739130435,0.9684943429068755,0.42325088024139407,0.889,0.8843873517786561,0.895,0.889662027833002,0.0001,31.480182416038588,False,val_f1,max
transformer,lr_1e4_weight_decay,6,0.05571363761632339,0.9832173913043478,0.9849040139616055,0.9814782608695652,0.9831881533101046,0.5372003030776977,0.879,0.8997890295358649,0.853,0.8757700205338809,0.0001,31.501335832988843,False,val_f1,max
transformer,lr_1e4_weight_decay,7,0.028104228237805808,0.9932173913043478,0.9939905939731754,0.9924347826086957,0.9932120790183622,0.6804268088340759,0.879,0.8828282828282829,0.874,0.878391959798995,0.0001,31.480894208070822,False,val_f1,max
