model_name,scenario_name,epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,learning_rate,epoch_time_seconds,improved_selection_metric,selection_metric,selection_mode
transformer,lr_5e5_weight_decay,1,0.6861779989574267,0.559,0.56053171558569,0.5463478260869565,0.5533488925095777,0.5790640754699707,0.7845,0.7537912578055308,0.845,0.7967939651107968,5e-05,32.02260737493634,True,val_f1,max
transformer,lr_5e5_weight_decay,2,0.4073790658971538,0.8241739130434783,0.8207709516434348,0.8294782608695652,0.8251016348066776,0.2987062530517578,0.877,0.8862704918032787,0.865,0.8755060728744939,5e-05,31.520311791915447,True,val_f1,max
transformer,lr_5e5_weight_decay,3,0.2535191443692083,0.8995652173913044,0.8988715277777778,0.9004347826086957,0.8996524761077324,0.287898650765419,0.8945,0.8649398704902868,0.935,0.8986064392119173,5e-05,31.51308908406645,True,val_f1,max
transformer,lr_5e5_weight_decay,4,0.19958821723512982,0.9237826086956522,0.9223502903197851,0.9254782608695652,0.9239116281088589,0.28436588490009307,0.9035,0.9096446700507614,0.896,0.9027707808564231,5e-05,31.433972790953703,True,val_f1,max
transformer,lr_5e5_weight_decay,5,0.16543801926011625,0.9386086956521739,0.9387613082811412,0.9384347826086956,0.9385980170464429,0.30915425372123717,0.902,0.8828571428571429,0.927,0.904390243902439,5e-05,31.447521916939877,True,val_f1,max
transformer,lr_5e5_weight_decay,6,0.13020892630970995,0.9548260869565217,0.9554994339458329,0.9540869565217391,0.9547926728451465,0.3358791267871857,0.9,0.9098360655737705,0.888,0.8987854251012146,5e-05,31.55673245806247,False,val_f1,max
transformer,lr_5e5_weight_decay,7,0.09810834914899391,0.9669565217391304,0.9677700348432056,0.9660869565217391,0.9669277632724108,0.3890815167427063,0.8945,0.9037871033776868,0.883,0.8932726353060192,5e-05,31.507368082995526,False,val_f1,max
transformer,lr_5e5_weight_decay,8,0.07179967296479836,0.9776956521739131,0.9789033214192311,0.9764347826086957,0.9776674937965261,0.46592150449752806,0.889,0.8866799204771372,0.892,0.8893320039880359,5e-05,31.45539291703608,False,val_f1,max
transformer,lr_5e5_weight_decay,9,0.04901678798088561,0.9871739130434782,0.9881502134704191,0.9861739130434782,0.9871610741175959,0.5636854214668274,0.8805,0.8992654774396642,0.857,0.8776241679467486,5e-05,31.499677082989365,False,val_f1,max
