model_name,scenario_name,epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,learning_rate,epoch_time_seconds,improved_selection_metric,selection_metric,selection_mode
lstm,lr_1e4_no_weight_decay,1,0.6557050609484962,0.5959565217391304,0.6280013919498898,0.4707826086956522,0.5381442274240843,0.4255645537376404,0.8245,0.8087535680304472,0.85,0.8288639687957094,0.0001,12.816440124996006,True,val_f1,max
lstm,lr_1e4_no_weight_decay,2,0.34498570078352225,0.8635652173913043,0.8606797791580401,0.8675652173913043,0.8641087822622553,0.3163455193042755,0.8835,0.8869828456104945,0.879,0.8829733802109493,0.0001,12.842705250019208,True,val_f1,max
lstm,lr_1e4_no_weight_decay,3,0.2507219594406045,0.9062173913043479,0.9047742829910753,0.908,0.9063842715159932,0.2750571677684784,0.8915,0.8942598187311178,0.888,0.8911189162067236,0.0001,12.84647595800925,True,val_f1,max
lstm,lr_1e4_no_weight_decay,4,0.19980956470966338,0.928,0.9290446304044631,0.9267826086956522,0.9279122409890301,0.27096018075942996,0.894,0.8916500994035785,0.897,0.8943170488534397,0.0001,12.84621354099363,True,val_f1,max
lstm,lr_1e4_no_weight_decay,5,0.1637066076644089,0.944,0.9451612903225807,0.942695652173913,0.9439268611232042,0.292645149230957,0.8885,0.9042663891779397,0.869,0.8862825089240184,0.0001,12.826691458001733,False,val_f1,max
lstm,lr_1e4_no_weight_decay,6,0.13447293182041334,0.9566086956521739,0.9579626722483865,0.9551304347826087,0.9565444570234259,0.2955021203756332,0.884,0.8902439024390244,0.876,0.8830645161290323,0.0001,12.839564624940977,False,val_f1,max
lstm,lr_1e4_no_weight_decay,7,0.11044202271492586,0.966304347826087,0.9681361850720209,0.9643478260869566,0.9662382923110433,0.3679078515768051,0.873,0.9010752688172043,0.838,0.8683937823834197,0.0001,12.89539141592104,False,val_f1,max
lstm,lr_1e4_no_weight_decay,8,0.09140727037191392,0.9739130434782609,0.9760656883298393,0.9716521739130435,0.9738539306257626,0.4033849800825119,0.8795,0.8868501529051988,0.87,0.878344270570419,0.0001,12.919814708060585,False,val_f1,max
