model_name,scenario_name,epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,learning_rate,epoch_time_seconds,improved_selection_metric,selection_metric,selection_mode
lstm,lr_1e4_weight_decay,1,0.6537750311830769,0.597304347826087,0.6299349744542498,0.4717391304347826,0.5394789180588703,0.4215537495613098,0.821,0.8459051724137931,0.785,0.8143153526970954,0.0001,12.733328124973923,True,val_f1,max
lstm,lr_1e4_weight_decay,2,0.34357188356441,0.8643913043478261,0.8620302375809935,0.8676521739130435,0.8648320693391116,0.3160318036079407,0.887,0.8909090909090909,0.882,0.8864321608040201,0.0001,12.698115749983117,True,val_f1,max
lstm,lr_1e4_weight_decay,3,0.25186384599623474,0.9057391304347826,0.9044028427803779,0.9073913043478261,0.9058946089070232,0.27552098989486695,0.891,0.896551724137931,0.884,0.8902316213494461,0.0001,12.617758375010453,True,val_f1,max
lstm,lr_1e4_weight_decay,4,0.19986248690149058,0.9284782608695652,0.929561502920408,0.9272173913043478,0.9283879674372034,0.27105455720424654,0.893,0.8875739644970414,0.9,0.8937437934458788,0.0001,12.594768499955535,True,val_f1,max
lstm,lr_1e4_weight_decay,5,0.16363531151543492,0.9447826086956522,0.9465688842325825,0.9427826086956522,0.9446719526008539,0.2884548761844635,0.89,0.9020618556701031,0.875,0.8883248730964467,0.0001,12.52330141607672,False,val_f1,max
lstm,lr_1e4_weight_decay,6,0.1347668742667074,0.9566086956521739,0.9586827393431167,0.9543478260869566,0.9565103712741851,0.29837273752689364,0.888,0.8927125506072875,0.882,0.8873239436619719,0.0001,12.574727916973643,False,val_f1,max
lstm,lr_1e4_weight_decay,7,0.11095110194061114,0.966304347826087,0.9685452162516383,0.9639130434782609,0.9662235781215951,0.3692187019586563,0.8755,0.9041980624327234,0.84,0.8709175738724728,0.0001,12.643217582954094,False,val_f1,max
lstm,lr_1e4_weight_decay,8,0.09232246611688448,0.9733478260869565,0.9752073330423396,0.9713913043478261,0.97329557830538,0.3927761607170105,0.8805,0.8878695208970439,0.871,0.8793538616860171,0.0001,12.60971824999433,False,val_f1,max
